1716984878.629055 client started (48681): version 3.3a, socket /run/user/1000/tmux-1000/default, protocol 8
1716984878.629081 on Linux 6.1.91 #1-NixOS SMP PREEMPT_DYNAMIC Fri May 17 09:56:25 UTC 2024
1716984878.629091 using libevent 2.1.12-stable (poll); utf8proc 2.9.0; ncurses 6.4
1716984878.629110 flags are 0x10010000
1716984878.629116 socket is /run/user/1000/tmux-1000/default
1716984878.629130 trying connect
1716984878.629179 add peer 0x506700: 6 ((nil))
1716984878.629416 sending message 100 to peer 0x506700 (4 bytes)
1716984878.629434 sending message 111 to peer 0x506700 (8 bytes)
1716984878.629440 sending message 101 to peer 0x506700 (7 bytes)
1716984878.629446 sending message 109 to peer 0x506700 (4 bytes)
1716984878.629451 sending message 102 to peer 0x506700 (11 bytes)
1716984878.629456 sending message 108 to peer 0x506700 (47 bytes)
1716984878.629461 sending message 112 to peer 0x506700 (70 bytes)
1716984878.629468 sending message 112 to peer 0x506700 (5 bytes)
1716984878.629474 sending message 112 to peer 0x506700 (5 bytes)
1716984878.629479 sending message 112 to peer 0x506700 (6 bytes)
1716984878.629485 sending message 112 to peer 0x506700 (6 bytes)
1716984878.629491 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629496 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629502 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629507 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629514 sending message 112 to peer 0x506700 (18 bytes)
1716984878.629519 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629525 sending message 112 to peer 0x506700 (21 bytes)
1716984878.629530 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629535 sending message 112 to peer 0x506700 (7 bytes)
1716984878.629540 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629547 sending message 112 to peer 0x506700 (7 bytes)
1716984878.629552 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629560 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629565 sending message 112 to peer 0x506700 (21 bytes)
1716984878.629570 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629575 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629581 sending message 112 to peer 0x506700 (12 bytes)
1716984878.629586 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629591 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629596 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629602 sending message 112 to peer 0x506700 (12 bytes)
1716984878.629607 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629612 sending message 112 to peer 0x506700 (7 bytes)
1716984878.629617 sending message 112 to peer 0x506700 (7 bytes)
1716984878.629624 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629629 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629634 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629639 sending message 112 to peer 0x506700 (15 bytes)
1716984878.629645 sending message 112 to peer 0x506700 (13 bytes)
1716984878.629650 sending message 112 to peer 0x506700 (12 bytes)
1716984878.629655 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629660 sending message 112 to peer 0x506700 (14 bytes)
1716984878.629665 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629671 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629676 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629681 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629688 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629693 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629698 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629703 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629709 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629714 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629720 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629725 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629731 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629743 sending message 112 to peer 0x506700 (8 bytes)
1716984878.629749 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629754 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629760 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629765 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629771 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629778 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629783 sending message 112 to peer 0x506700 (11 bytes)
1716984878.629788 sending message 112 to peer 0x506700 (10 bytes)
1716984878.629794 sending message 112 to peer 0x506700 (9 bytes)
1716984878.629799 sending message 112 to peer 0x506700 (9 bytes)
